,source_id,dec,ra,pmra,pmdec,parallax,phot_g_mean_mag,g_rp,bp_g,bp_rp,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,a_g,a_bp,a_rp,ab_g,photo_g_mean_mag_error,ab_bp,photo_bp_mean_mag_error,ab_rp,photo_rp_mean_mag_error,mag_r_DECam,mag_g_DECam
1056,3.671E+18,4.739870482,210.9008986,-0.85550651,-1.079545976,-0.284262181,19.924276,0.5923939,0.36367798,0.95607185,202.1324714,1.326509303,20.287954,106.0164911,13.88972226,19.331882,148.59869,15.07023268,0.058435072,0.074990672,0.042050568,19.97087471,0.082032175,20.24217576,1.637684161,19.64401198,1.267695621,-10.79066892,-10.42705512
1301,3.67137E+18,4.897066265,211.0896597,-1.120852652,0.515277178,-0.060956476,19.968765,0.39354324,0.04975891,0.44330215,194.0170399,2.204885468,20.018524,135.8767982,19.66102635,19.575222,118.7623916,16.59268583,0.064137471,0.078897054,0.042898921,20.00966284,0.142054885,19.96883968,1.808718138,19.88650374,1.746416269,-10.59281525,-10.73416198
2070,3.67175E+18,4.894930278,210.7867471,-0.772204832,-0.420331461,0.003563153,17.968212,0.6397152,0.4742508,1.113966,1224.790136,2.127765255,18.442463,580.1900284,8.875142636,17.328497,940.5230281,13.40225487,0.056764972,0.07386467,0.041737449,18.01648083,0.021715611,18.39780968,0.191211978,17.64093897,0.178122365,-12.76707937,-12.24627373
3814,3.67175E+18,4.735905395,210.7050518,-1.283809032,0.019187836,-0.017613356,19.3249,0.6420841,0.3342533,0.97633743,351.0640066,1.400303119,19.659153,189.1881517,10.91032075,18.682816,270.1727262,8.531645485,0.05821834,0.074842292,0.042011927,19.3717159,0.049859253,19.61352287,0.720864431,18.99498431,0.394731067,-11.39337516,-11.00942218
4821,3.67175E+18,4.849145467,210.7478216,-0.565430622,-0.707287282,0.009039438,17.59278,0.7084789,0.56137466,1.2698536,1730.750115,2.312392998,18.154154,756.6479023,19.00744378,16.8843,1415.950671,9.082896935,0.055158903,0.072838355,0.04139944,17.64265517,0.016700801,18.11052706,0.314007409,17.19708025,0.080183734,-13.14988231,-12.47877304
5598,3.67175E+18,4.888318684,210.7857154,-1.248939402,-1.082908512,-0.355861056,18.862577,0.20454979,0.06700325,0.27155304,537.4222075,5.9933968,18.92958,370.4445643,12.92556467,18.658028,276.4118724,8.076866092,0.06613495,0.080168649,0.043137467,18.90147603,0.139401497,18.87862328,0.436150437,18.9690708,0.365255028,-11.61860394,-11.91325018
6629,3.67175E+18,4.705706118,210.8179359,-1.125440085,-0.609380737,-0.289807822,19.119987,0.56243515,0.30903053,0.8714657,423.9858214,1.677368987,19.429018,233.8557264,14.71222137,18.557552,303.2122541,3.594052645,0.059347294,0.075619759,0.042207231,19.16567437,0.04945239,19.38261022,0.786394116,18.8695259,0.148165707,-11.57877878,-11.30030195
1854,3.67213E+18,4.965466633,210.8651045,-0.933990547,-0.476942312,-1.315115708,19.939486,0.6775112,0.46872902,1.1462402,199.3204964,1.303269093,20.408215,94.90064356,10.40867543,19.261974,158.4813288,13.37354247,0.056428909,0.073644288,0.041669916,19.98809119,0.081732004,20.36378282,1.370996423,19.57448482,1.054820036,-10.79837363,-10.24594471
2221,3.67212E+18,4.891699887,210.9644165,-0.894930126,-0.17486155,-0.344621113,19.180204,0.40165138,0.045209885,0.44686127,401.1110099,6.283442386,19.225414,282.0913492,20.82041662,18.778553,247.3697089,15.77517531,0.064096517,0.078870116,0.042893774,19.22114203,0.195813697,19.17575546,0.922591949,19.08983993,0.797145666,-11.38289122,-11.52093365
2978,3.67212E+18,4.848704085,210.9850761,-0.800653417,-0.431165864,-0.029297106,16.568405,0.81779766,0.6938362,1.5116339,4446.149718,4.202279162,17.262241,1720.515608,33.47720695,15.7506075,4022.766488,13.57622293,0.052756235,0.071480258,0.040811968,16.62068356,0.011814377,17.2199732,0.243220744,16.06397597,0.042185592,-14.16033768,-13.2731623
5465,3.67213E+18,4.919040063,211.0970733,-1.004442624,-0.541806916,0.010784518,18.860075,0.5223751,0.33054733,0.85292244,538.6617167,1.928325353,19.190622,291.2773289,16.21843076,18.3377,371.2687652,10.74798076,0.059548802,0.07575942,0.042240591,18.90556092,0.04474806,19.14407387,0.696004681,18.64963837,0.361866583,-11.83465701,-11.57485318
6081,3.67213E+18,4.897827959,210.987418,-0.769901938,-0.708647387,0.02562626,19.488768,1.0350819,-0.3440361,0.69104576,301.8835702,2.847691837,19.144732,303.8523848,28.13860731,18.453686,333.6518607,21.52660685,0.061331343,0.076996285,0.04251785,19.53246996,0.117913499,19.09694709,1.157577195,18.76534827,0.806477102,-11.16335791,-11.06569928
7309,3.67213E+18,4.886621679,210.8501855,-0.606356953,-0.218607818,-0.208657041,19.213259,0.33563042,0.02911377,0.3647442,389.0832047,2.075356307,19.242373,277.7193886,10.7039998,18.877628,225.7962588,7.572011619,0.065046008,0.079486314,0.043010347,19.25324778,0.066674566,19.19209818,0.481781262,19.1887978,0.419183851,-11.31331729,-11.52637762
128,3.67213E+18,5.000505413,210.9456463,-1.092054056,-1.433172985,-0.168007393,19.743174,0.7205334,-0.14331245,0.5772209,238.8233573,1.642043734,19.599861,199.8070163,13.25233225,19.02264,197.5657294,20.47002094,0.062609215,0.077873596,0.04269892,19.78559879,0.085944469,19.55119957,0.829070751,19.33412205,1.295139914,-10.87112176,-10.88523994
