,source_id,dec,ra,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,g_rp,bp_g,bp_rp,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,a_g,a_bp,a_rp,ab_g,photo_g_mean_mag_error,ab_bp,photo_bp_mean_mag_error,ab_rp,photo_rp_mean_mag_error,mag_r_DECam,mag_g_DECam
360,3970095901011364608,15.564230307265179,169.3305586558226,-1.80049672493975,-1.6718689993992966,0.4921922995169778,0.4210727228839635,-0.32525536028827146,0.5444788211584519,18.636948,0.5811291000000001,0.41104126,0.99217033,661.5572351659005,2.4958908534260207,19.047989,332.16967043045435,15.563434076679778,18.055819,481.32698494311273,12.361250400146073,0.04293929555959624,0.05525134372720462,0.031036807574086937,18.699042145711225,0.047159390011057005,19.021948717275922,0.5856733569515591,18.378962666201737,0.3210200857948737,-12.070026130451843,-11.661713063358143
565,3970086726961282560,15.414357686211712,169.22138356771612,-1.6680582888186082,-1.0829322787992135,1.7983614414728395,1.5798568278550904,-1.784326318191345,1.0644078372688544,20.421211,1.0676136,0.57792854,1.6455421000000001,127.89737392037951,1.335939942312258,20.99914,55.0680395469459,9.238567130056008,19.353598,145.65610467201182,11.587829221645649,0.03807269633769832,0.052407582675479944,0.02990470509410938,20.48817323534285,0.13056756966174363,20.975943378250363,2.0970800863039765,19.67787356666404,0.994451043413105,-10.271515640840253,-9.271296968124773
1269,3970082882965866112,15.340522917050652,169.21078797243888,-1.5211720264252309,-0.9086296865387804,0.16120996044225827,0.12907624232114412,-0.06883893708227999,0.08354667309311069,16.847157,0.74495316,0.6057739000000001,1.3507271,3439.408792295427,4.039160196476192,17.45293,1443.388918160183,9.854584501564048,16.102203,2909.957693864665,12.339551288290055,0.040196257982019555,0.05349186927076836,0.030467789501878326,16.911994249186442,0.014679703840105675,17.428649714199096,0.08534242207330027,16.425915522788237,0.05300571600364965,-13.879924485487216,-13.126446049411008
1392,3970143076932150784,15.591497816480446,169.2762374503271,-1.4228526900327658,-0.9275705909219656,0.2987988091774799,0.2506528293496077,-0.03337666317542645,0.3078197930964598,17.831095,0.63059616,0.42041588,1.051012,1389.6589837768577,2.5075037416530317,18.25151,691.7534890563495,11.923242818932113,17.200499,1058.2017448589286,14.479577184462745,0.04247768132607623,0.05493898123637759,0.03095120651158035,17.893651720258447,0.02255502762661654,18.225782622996604,0.21545324684948675,17.523727610236605,0.17103989450510038,-12.88376467500942,-12.41686520327962
2238,3970141706837922688,15.652141915067494,169.12723321842086,-2.0533580878893725,-1.354637467949595,0.10606802336715916,0.09354159589736212,0.02393078265124421,0.06767484140421375,16.117237,0.65249157,0.49580765,1.1482992,6736.766165503461,6.010249998402069,16.613045,3128.5090121931844,22.08893739878086,15.4647455,5234.435363056642,16.532820520100213,0.04172415533482365,0.05444007026295851,0.030803251814370415,16.18054716174955,0.011151956760014885,16.58781640380405,0.08825664762627537,15.788122144864873,0.0394809071403976,-14.606733687767445,-14.044214071649474
2387,3970090025496092160,15.52270325712939,169.2556687423616,-1.3419817481079854,-0.9995717147152048,2.1431871201938715,1.69550221808144,-0.7872280181196155,1.9468645530471185,20.546577,0.577795,-0.00800705,0.569788,113.95022124648848,1.5024478973795012,20.53857,84.1641879284293,5.620640372254104,19.968782,82.65238729911572,13.297596811777382,0.04637580489370418,0.057621088746356214,0.031575843242503815,20.60523626324081,0.16481406101545865,20.510160567703938,0.8347731545027394,20.291385651557516,2.0110727055671584,-10.052111061732102,-10.064593360674866
3466,3970144077659308544,15.615133940874426,169.2330409704611,-0.9719237910500196,-0.6027934380950929,1.1698450284564141,0.858965978250377,-0.9384304754353722,0.8294940361826135,19.944468,0.29880524,0.050924300000000006,0.34972954,198.4080551686483,1.6324042413521762,19.995392000000002,138.8029465818257,24.21567088117537,19.645661999999998,111.30199457472636,9.840379381393012,0.048245944981044564,0.05885401335422011,0.03181309324894693,20.001255804774466,0.10284387395238442,19.965749272525844,2.180759799909939,19.968029538927855,1.1051440968097768,-10.562659820871865,-10.780688143627728
4088,3970144382602217216,15.639044359971088,169.22769508435488,-1.7653499522859954,-1.5384989768960369,0.6872653876532933,0.4495996063137613,-0.5844100320325128,0.5435951229936771,18.767746,0.49645615,0.3642273,0.86068344,586.4733224031654,2.264485206508919,19.131973000000002,307.44414054476965,12.027189687756008,18.27129,394.6862837852758,7.625730489916546,0.043986368096913336,0.05597168248752407,0.031218151036654665,18.82879297780151,0.04826488094185256,19.105212766476836,0.48899897988154306,18.59425176403532,0.24151239868222882,-11.915186805041667,-11.638836260541193
5300,3970087792113081344,15.442467086678061,169.14649836930528,-1.0199313766812026,-1.0386423738612072,0.7589674300525376,0.5786851214932452,-0.1420794155673825,0.4033566503883825,19.343912,0.575861,0.2394886,0.8153496,344.9703532952775,1.5148198052228,19.5834,202.8593558224748,12.828423829566336,18.768051,249.77415434663087,13.68711051817412,0.044352248964197455,0.056225472294950014,0.03127765982842771,19.40459331736353,0.05488949234161397,19.556386922568738,0.7904752394555984,19.090953597003416,0.6849743197998911,-11.3286901411529,-11.09790920926693
5902,3970085906622842624,15.356808472723793,169.19069854148574,-1.5452061637829764,-1.2112166051341358,0.07554117211371865,0.06140765764362203,0.01687020430476093,0.0395077539269582,15.160885,0.7910814,0.6740284000000001,1.4651098,16255.202843083545,11.390453908027402,15.834913,6406.042966301386,37.721339005334094,14.369803,14349.824824795734,26.44174223695591,0.039357664506603635,0.05302345870290499,0.030260400196731846,15.226561352299955,0.008759083182460829,15.811101923255835,0.07360499141936175,14.693723101150702,0.023033157686414736,-15.558384388094899,-14.703857579867863
5950,3970136926538968192,15.535347651811573,169.23187114908518,-0.7465853578519677,-0.7613432815524305,0.4438233707044895,0.38431274876982907,-1.0308921010324417,0.4828696430669903,18.548893,,,,717.4453791177481,2.878615097318533,,,,,,,,,,,0.05015390685313221,,,,,,
