,SIGNIFICANCE,RA,DEC,l,b,DES_FOOTPRINT,PS1_FOOTPRINT,DELVE_FOOTPRINT,DECALS_FOOTPRINT,EBV_FLAG,PMRA,PMDEC,RR_LYRAE,NSTARS,MAG_AVG,MAG_MAX
0,18.34715843,183.0816297,49.40788291,139.008313,66.48167745,FALSE,TRUE,FALSE,TRUE,FALSE,-0.073864648,-0.01324131,FALSE,40,19.8065957,17.85038
1,17.86355019,180.0903094,-27.94230771,289.377216,33.58148965,FALSE,FALSE,TRUE,FALSE,FALSE,-0.6657019,0.465125879,FALSE,45,19.72189742,16.752312
2,17.07284355,145.6362812,76.79781158,134.8284407,35.58970688,FALSE,TRUE,FALSE,TRUE,FALSE,0.526405216,-0.393949142,FALSE,33,19.7511783,17.51887
3,16.57918549,181.7612655,41.7460392,151.9659419,72.78729293,FALSE,TRUE,FALSE,TRUE,FALSE,0.056893415,-0.197068018,TRUE,13,19.53174877,17.948593
4,16.42457581,26.40353856,-26.26595052,211.9286245,-77.87502692,FALSE,FALSE,FALSE,TRUE,FALSE,-0.130536387,-0.061055424,FALSE,31,19.68562061,16.378525
5,16.37262154,149.7776889,38.71132286,183.8263919,52.40969658,FALSE,TRUE,FALSE,TRUE,FALSE,0.059186748,-0.052181691,FALSE,16,19.70912425,18.3215
6,16.25366783,191.8194022,50.96001217,124.5525502,66.15514706,FALSE,TRUE,FALSE,TRUE,FALSE,-0.069968698,-0.086784684,FALSE,17,19.98866735,18.995295
7,16.19381714,178.62896,-29.34463036,288.311311,31.90592146,FALSE,FALSE,TRUE,FALSE,FALSE,-0.66549172,0.383033207,FALSE,70,19.53205726,17.387762
8,15.96842194,114.4803787,38.61398924,180.6420645,25.128242,FALSE,TRUE,FALSE,TRUE,FALSE,-0.041225409,-0.904109843,TRUE,3728,19.50980092,13.680497
9,15.80805588,196.4608781,30.74378498,82.70980551,85.20428802,FALSE,TRUE,FALSE,TRUE,FALSE,0.152310471,0.142177793,FALSE,18,19.84193039,17.318617
11,15.74065495,48.15638978,32.92291573,154.2831874,-21.21654208,FALSE,TRUE,FALSE,FALSE,TRUE,-0.085116142,-0.722013006,FALSE,578,19.17413648,14.302345
12,15.44749165,53.98553676,26.38291451,162.8922996,-23.44983808,FALSE,TRUE,FALSE,FALSE,FALSE,0.032731883,-0.711673795,FALSE,276,19.0560357,14.893813
13,15.37070751,103.6084058,54.56944225,161.7022827,22.2276744,FALSE,TRUE,FALSE,TRUE,FALSE,0.189036,-0.601929535,TRUE,4778,19.36472518,13.98584
14,15.28338146,54.52989945,30.11244395,160.7427726,-20.26225914,FALSE,TRUE,FALSE,FALSE,TRUE,0.057153823,-0.934872284,FALSE,4525,19.19900406,12.063037
15,15.27869606,178.5992001,-29.34844016,288.2829469,31.89554873,FALSE,FALSE,TRUE,FALSE,FALSE,-0.674755937,0.382947615,FALSE,53,19.39824013,17.387762
16,15.21586132,153.9450136,40.87430826,179.4528665,55.28730043,FALSE,TRUE,FALSE,TRUE,FALSE,-0.039778424,-0.041659562,FALSE,64,19.69185411,16.763525
17,15.1769762,200.2156664,40.45065786,100.2640928,75.35584741,FALSE,TRUE,FALSE,TRUE,FALSE,0.034641934,-0.119328302,FALSE,10,19.4316866,17.855528
18,15.16069889,119.2895967,61.40414799,155.4651759,31.38905637,FALSE,TRUE,FALSE,TRUE,FALSE,0.163296226,-0.407887161,FALSE,21,18.92798162,15.875926
