,source_id,dec,ra,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,g_rp,bp_g,bp_rp,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error
707,2.98632E+18,-15.3662237,76.15849015,0.305989427,0.463937537,0.25016843,0.247734723,0.030105207,0.141417369,17.800686,0.502079,0.31490517,0.8169842,1429.130462,1.743399615,18.115591,784.0054297,9.917649467,17.298607,966.7752307,8.805240319
853,2.98632E+18,-15.39123898,76.20388818,-0.502616647,0.020635654,0.477368174,0.508025852,0.151567673,0.264454241,18.807251,0.5212784,0.3750248,0.8963032,565.5172505,1.221965269,19.182276,293.5246831,6.383180599,18.285973,389.3848491,6.909300639
3719,2.98635E+18,-15.28542585,76.20506941,-0.173331114,0.217778602,0.269091815,0.266137802,0.177438038,0.149481848,17.929337,0.5842438,0.45910072,1.0433445,1269.437558,1.755778309,18.388437,609.7897819,9.364025675,17.345093,926.2551808,8.886793078
3948,2.98635E+18,-15.23781685,76.18028765,0.093763327,0.308328806,3.260364453,3.172505493,-0.053659171,1.516646822,20.754772,1.0369987,-0.29398537,0.7430134,94.06707118,0.969154083,20.460787,90.41505965,18.66384592,19.717773,104.1498011,7.367434794
7864,2.98636E+18,-15.18141947,76.17953479,-0.245192577,0.164554722,0.467497253,0.367329369,-0.250237553,0.214014454,18.213276,0.34983063,0.18233109,0.5321617,977.3186403,10.50911138,18.395607,605.7767697,35.21884299,17.863445,574.6316574,22.06758761
9649,2.98633E+18,-15.288533,76.14963511,0.042994665,1.036199538,1.080197235,1.104038117,0.76368671,0.623503426,19.797693,1.2208614,1.0666714,2.2875328,227.1271771,1.371131505,20.864365,62.34607998,7.344861648,18.576832,297.8759176,8.418288846
10179,2.98632E+18,-15.3553571,76.14346713,-0.109812696,-0.288097001,0.177801607,0.167919342,-0.109547229,0.098951024,16.917181,0.4649582,0.10363579,0.568594,3224.582789,10.08175849,17.020817,2148.959232,28.16060739,16.452223,2108.038364,21.1653035
10369,2.98635E+18,-15.23432614,76.22100722,0.23694238,0.706260624,0.786018323,0.817723199,-0.245442473,0.555737051,19.792515,0.5970497,0.31345177,0.9105015,228.2128196,1.048400647,20.105967,125.3627721,7.311118763,19.195465,168.4931104,7.098917229
10722,2.98633E+18,-15.31538955,76.14253806,0.39087518,0.036679891,0.131126013,0.131355395,0.160474544,0.073565959,16.66712,0.58322334,0.43972015,1.0229435,4059.73922,3.046282268,17.10684,1985.267303,12.45582126,16.083897,2959.436689,8.556108431
11209,2.98635E+18,-15.29429415,76.2990517,-0.398051554,-0.161331443,0.528215225,0.511901174,-0.366128771,0.373212692,19.01366,0.669693,0.45156097,1.121254,467.608282,1.542330032,19.465221,226.1863187,7.294814055,18.343967,369.1313621,9.752961677
11248,2.98635E+18,-15.24228991,76.14701197,0.09982326,0.333504029,0.283191028,0.260060623,-0.056071582,0.134418871,17.438656,0.48497772,0.24831581,0.73329353,1994.727895,2.177875102,17.686972,1163.501536,12.74940996,16.953678,1328.300888,15.30334465
11359,2.98633E+18,-15.27348679,76.10129061,0.124189468,0.256542946,1.430737124,1.323071444,-0.241558928,0.763123417,20.286615,0.6924381,0.40184593,1.094284,144.7771756,0.923639162,20.688461,73.31122532,8.753812529,19.594177,116.7070938,8.081053003
11506,2.98633E+18,-15.27156552,76.13522846,0.139491436,0.246359734,0.744434903,0.818045482,-0.365540064,0.426556611,19.487772,0.63180923,0.40683746,1.0386467,302.1601028,1.041836767,19.89461,152.3041955,5.884776716,18.855963,230.3472718,13.02905809
11557,2.98635E+18,-15.28782387,76.1984099,0.385360682,0.91470956,0.490916286,0.480642834,0.139676262,0.271707681,18.846344,0.54016304,0.3689785,0.90914154,545.5172817,1.25962447,19.215322,284.7253859,5.726976191,18.306181,382.2046534,9.61937018
13254,2.98632E+18,-15.37819988,76.10552076,-0.091378445,0.399322733,2.79671953,3.067250176,0.733382195,1.37492215,20.7397,0.99020386,0.4666748,1.4568787,95.38193557,1.144752048,21.206375,45.49939062,7.825204418,19.749496,101.1508853,8.47451421
13779,2.98632E+18,-15.37798838,76.12332413,-0.298013531,0.68600954,2.110989381,2.05433758,0.203499079,1.210186946,20.554245,0.58363724,0.16859818,0.7522354,113.1483206,1.362713499,20.722843,71.02610397,4.187357965,19.970608,82.51353174,9.083460811
14083,2.98635E+18,-15.24292648,76.18115048,-0.043678487,0.58679668,0.39144365,0.360818187,0.26313449,0.194506241,18.198221,0.48916245,0.3302021,0.81936455,990.9635178,1.597296826,18.528423,536.0258004,14.05210334,17.709059,662.4366157,8.018080657
