,significance,ra,dec,l,b,DES_FOOTPRINT,PS1_FOOTPRINT,EBV_FLAG,DECALS_FOOT,DELVE_FOOT,pmra,pmdec,names,edr3,RR_LYRAE,SGR,LMC,NSTARS,MAG_AVG
2,18.08272171,114.8889047,38.94561568,180.3825142,25.52366498,FALSE,TRUE,FALSE,TRUE,FALSE,-0.047178133,-0.939746392,DEC_38.0_39.0/DEC_38.8_RA_115.7,25.17835617,TRUE,FALSE,FALSE,3381,19.34848723
3,16.85217857,153.6726698,-1.478724299,243.7148104,42.67384471,FALSE,TRUE,FALSE,TRUE,TRUE,-0.607081065,0.04789483,DEC_-2.0_-1.0/DEC_-1.1_RA_154.5,25.0310173,TRUE,FALSE,FALSE,144,19.29855592
26,10.50406456,82.13466412,-5.111538926,207.9364126,-20.75191178,FALSE,TRUE,FALSE,FALSE,FALSE,0.257013974,-0.316529742,DEC_-5.0_-4.0/DEC_-4.4_RA_82.9,15.44102859,TRUE,FALSE,FALSE,438,18.96274124
27,10.3013525,82.52433259,-5.300534252,208.3048699,-20.49231458,FALSE,TRUE,FALSE,FALSE,FALSE,0.336645581,-0.017039271,DEC_-6.0_-5.0/DEC_-5.7_RA_83.2,15.44102859,TRUE,FALSE,FALSE,1662,19.06419985
30,10.55416107,0.60587704,40.86844666,113.0286901,-21.05887558,FALSE,TRUE,FALSE,FALSE,FALSE,-1.756011021,-1.602146836,DEC_40.0_41.0/DEC_40.1_RA_0.4,15.25416183,TRUE,FALSE,FALSE,711,19.12840175
34,10.88323784,73.8212036,5.737103291,193.3654462,-22.59711328,FALSE,TRUE,FALSE,FALSE,FALSE,0.361624467,-0.420328373,DEC_5.0_6.0/DEC_5.7_RA_73.7,15.09519196,TRUE,FALSE,FALSE,6167,18.94331817
75,10.9627533,76.17400819,-15.29788617,215.4094342,-30.38649615,FALSE,TRUE,FALSE,FALSE,FALSE,0.023581396,0.379872708,DEC_-16.0_-15.0/DEC_-15.3_RA_75.6,12.44254398,TRUE,FALSE,FALSE,18,18.79063578
0,16.26375008,152.9110665,-1.880416093,243.4691842,41.83251049,FALSE,TRUE,FALSE,TRUE,TRUE,-0.378660444,-0.129416848,DEC_-2.0_-1.0/DEC_-1.7_RA_152.2,31.10652161,FALSE,FALSE,FALSE,181,19.221555
1,15.70903873,201.8658506,33.44764249,74.23437928,79.98696946,FALSE,TRUE,FALSE,TRUE,FALSE,0.133638594,0.034547378,DEC_32.0_33.0/DEC_32.6_RA_200.8,28.39122963,FALSE,FALSE,FALSE,5,19.4626386
4,10.76497746,178.625404,-29.35641506,288.3113609,31.89373602,FALSE,FALSE,FALSE,FALSE,TRUE,-0.548680663,0.416816667,DEC_-30.0_-29.0/DEC_-29.5_RA_179.0,18.41858482,FALSE,FALSE,FALSE,38,19.16248313
5,10.79895782,54.07785166,30.04559581,160.4629762,-20.56011935,FALSE,TRUE,TRUE,FALSE,FALSE,0.511283769,-0.862800622,DEC_30.0_31.0/DEC_30.5_RA_53.1,17.82610703,FALSE,FALSE,FALSE,250,18.88238865
